nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/xconnect-tunnel-type | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/xconnect-tunnel-home-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/update-triggers/address-state | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/nat-periodic-update/interval | types-sros:time-duration
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/nat-periodic-update/rate-limit | union
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/called-station-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/calling-station-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/circuit-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/toserver-dhcp-options | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/dhcp-vendor-class-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/framed-ip-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/ipv6-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/mac-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/nas-identifier | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/nas-ip-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/nas-port | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/nas-port-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/nas-port-type | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/remote-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/toserver-dhcp6-options | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/wlan-ssid-vlan | boolean
