nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/remote/realm | string
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/remote/origin-state-id | uint32
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/remote/address | types-sros:ip-unicast-address
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/remote/tcp-port | types-sros:tcp-udp-port-non-zero
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/local/mc/state | types-diam:diam-node-peer-mc-state
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/local/mc/origin-state-id | uint32
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/local/address | types-sros:ip-unicast-address
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/local/tcp-port | types-sros:tcp-udp-port-non-zero
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/application/nasreq | boolean
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/application/gy | boolean
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/application/gx | boolean
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/application/relay | boolean
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/request/capability-exchange | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/request/disconnect-peer | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/request/device-watchdog | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/request/application | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/answer/capability-exchange | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/answer/disconnect-peer | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/answer/device-watchdog | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/transmit/answer/application | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/request/capability-exchange | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/request/disconnect-peer | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/request/device-watchdog | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/request/application | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/answer/capability-exchange | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/answer/disconnect-peer | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/answer/device-watchdog | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/receive/answer/application | yang:counter64
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/statistics/last-cleared | yang:date-and-time
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/state | types-diam:diam-peer-state
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/active | boolean
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/disconnect-cause | enumeration
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/connection-time-left | uint32
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/watchdog-time-left | uint32
nokia-state | /state/aaa/diameter/node[origin-host=*]/peer[index=*]/pending-messages-on-queue | uint32
nokia-state | /state/aaa/diameter/node[origin-host=*]/realm | string
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[port=*][direction=*][message-type=*][ip-address=*]/ip-address | types-sros:ip-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/port | types-sros:tcp-udp-port
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/direction | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/message-type | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/last-cleared | yang:date-and-time
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/total-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/failed-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/capability-exchange-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/disconnect-peer-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/device-watchdog-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/authentication-authorization-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gy-credit-control-initial-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[direction=*][message-type=*][ip-address=*][port=*]/gy-credit-control-update-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gy-credit-control-terminate-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gy-re-authorization-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gy-session-abbort-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gx-credit-control-initial-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gx-credit-control-update-messages | uint32
